k,cluster,users,sessions_mean,mean_kwh,mean_duration,fee_share_outcome
2,0,38,53.526315789473685,4.877395315504635,2.544277474759343,0.09592800231573353
2,1,46,28.217391304347824,6.8914656234995535,3.194601314195711,0.12514255060758916
3,0,22,101.0,5.729470984868379,2.8647946892358407,0.09830220177625008
3,1,38,18.210526315789473,6.944476831196959,3.242920841426407,0.1381939469681744
3,2,24,17.416666666666668,4.6837483090652805,2.3907387231860717,0.08282512466995194
5,0,12,32.25,6.367920319761225,4.015006652271587,0.38507514901861334
5,1,18,106.94444444444444,5.516570479267295,2.7651225327196913,0.07858018393735407
5,2,24,11.25,6.341775282021992,2.843381079499963,0.021018404899983845
5,3,26,20.884615384615383,4.841560907438113,2.5155563915383263,0.09142437543498522
5,4,4,51.75,12.137984461072696,3.009076747412156,0.12125020948550361
