elasticity,seed,policy,reward,revenue,peak_load,load_variance,service_ratio,final_backlog,action,selected_price
0.5,0,Flat 0.30,2.034700143211823,2.3985951680757265,0.85,0.10732188362295636,0.9996453938812395,0.0028361931418922973,,
0.5,0,TOU rule,2.134764758098051,2.800015241903998,0.85,0.1100197144117717,0.999999999874971,0.0,,
0.5,0,Best constant,2.657793376412412,3.9785831083722347,0.85,0.09976486774839806,0.9948754165919619,0.04098720331651251,4.0,0.5
0.5,0,Tabular Q-learning,2.605940187804656,3.6554383119024747,0.85,0.1126208772015274,0.9998877551626906,0.0009341966286104553,,
0.5,1,Flat 0.30,2.06195471412945,2.472628897974207,0.85,0.10684214922934408,0.9993889721169962,0.005039228779848928,,
0.5,1,TOU rule,2.20862061533084,2.9035342667528004,0.85,0.11042937436231741,0.9999999998787458,1.3877787807814457e-17,,
0.5,1,Best constant,2.699950099123974,4.096790843323079,0.85,0.10004642039960364,0.9935063672291558,0.05355386871437913,4.0,0.5
0.5,1,Tabular Q-learning,2.1956148437898864,3.604005017506786,0.85,0.1158455222749833,0.9988247348278124,0.009670401798561892,,
0.5,2,Flat 0.30,2.0633319967553434,2.462798005699035,0.85,0.10956258441653255,0.9996080093484526,0.003219240228745722,,
0.5,2,TOU rule,2.2129056724883935,2.8975919535391683,0.85,0.11323009334031416,0.9999999998782348,0.0,,
0.5,2,Best constant,2.692240106453318,4.084233262129348,0.85,0.102081729248,0.9946326750527918,0.04407940163350284,4.0,0.5
0.5,2,Tabular Q-learning,2.6849956415989733,3.7735231401038076,0.85,0.10415355123025231,0.9970409099789915,0.024630479761508006,,
0.5,3,Flat 0.30,2.113307982576148,2.47115377452443,0.85,0.11025041716764616,0.9998950383892811,0.000864677359726047,,
0.5,3,TOU rule,2.2471605420885132,2.9176210296360012,0.85,0.11362435466197991,0.999999999878612,0.0,,
0.5,3,Best constant,2.7319002875332816,4.100543324238711,0.85,0.10283996196972649,0.9955138284493777,0.03695727729707242,4.0,0.5
0.5,3,Tabular Q-learning,2.4120736204991835,3.277603240324161,0.85,0.11452726900992176,0.9989876581317474,0.008305210282118704,,
0.5,4,Flat 0.30,1.993853343478959,2.4417684770181216,0.85,0.11488380533802085,0.9997763727196194,0.0018205596064659393,,
