model,fold,seed,n_train,n_test,qubits,layers,trainable_parameters,steps,roc_auc,runtime_seconds,evaluation
Matched logistic,1,0,250,250,0,0,10,,0.566528,0.004619598388671875,analytic
Matched compact MLP,1,0,250,250,0,0,19,,0.507904,0.20897817611694336,analytic
VQC,1,0,250,250,4,2,25,25.0,0.635904,58.975560426712036,analytic
Matched logistic,1,1,250,250,0,0,10,,0.623136,0.004984855651855469,analytic
Matched compact MLP,1,1,250,250,0,0,19,,0.584704,0.29811573028564453,analytic
VQC,1,1,250,250,4,2,25,25.0,0.622112,61.34337067604065,analytic
Matched logistic,1,2,250,250,0,0,10,,0.60048,0.0058743953704833984,analytic
Matched compact MLP,1,2,250,250,0,0,19,,0.48342399999999996,0.2470858097076416,analytic
VQC,1,2,250,250,4,2,25,25.0,0.554272,58.412187576293945,analytic
Matched logistic,1,3,250,250,0,0,10,,0.558624,0.004868268966674805,analytic
Matched compact MLP,1,3,250,250,0,0,19,,0.553376,0.1616497039794922,analytic
VQC,1,3,250,250,4,2,25,25.0,0.573856,59.15641260147095,analytic
Matched logistic,1,4,250,250,0,0,10,,0.5211520000000001,0.007173299789428711,analytic
Matched compact MLP,1,4,250,250,0,0,19,,0.545184,0.28528404235839844,analytic
VQC,1,4,250,250,4,2,25,25.0,0.557696,60.27402424812317,analytic
Matched logistic,2,0,250,250,0,0,10,,0.6450560000000001,0.006349086761474609,analytic
Matched compact MLP,2,0,250,250,0,0,19,,0.6189439999999999,0.2029709815979004,analytic
VQC,2,0,250,250,4,2,25,25.0,0.583296,59.52072048187256,analytic
Matched logistic,2,1,250,250,0,0,10,,0.635872,0.00435638427734375,analytic
Matched compact MLP,2,1,250,250,0,0,19,,0.597856,0.2710893154144287,analytic
VQC,2,1,250,250,4,2,25,25.0,0.557856,60.156182527542114,analytic
Matched logistic,2,2,250,250,0,0,10,,0.63904,0.004430055618286133,analytic
Matched compact MLP,2,2,250,250,0,0,19,,0.627136,0.31708645820617676,analytic
VQC,2,2,250,250,4,2,25,25.0,0.568448,62.17226004600525,analytic
