policy,seed,episodes,parameters,runtime_seconds,reward,revenue,peak_load,load_variance,service_ratio,final_backlog
Q-EVCS,0,60,40,48.559579610824585,0.991923082499459,3.131410837357215,0.8493004594612816,0.09610352769447919,0.975880298665017,0.19815626451251447
Matched tabular Q-learning,0,60,480,,1.8051079842764561,3.0191358400848185,0.85,0.11738214416242543,0.9995494877282803,0.0037495478076658637
Q-EVCS,1,60,40,43.80389976501465,1.3799503889287164,2.709305499295012,0.85,0.10455760663802038,0.994510859026404,0.04514881673159542
Matched tabular Q-learning,1,60,480,,1.6487014120716381,2.5855382356714642,0.85,0.11629528094574226,0.9994250428450693,0.004730903490046123
Q-EVCS,2,60,40,43.724693059921265,0.7877184364979806,2.2429026686445246,0.85,0.11252823608808145,0.997960756425819,0.016796436518114355
Matched tabular Q-learning,2,60,480,,1.7761423835318457,2.7632042229087084,0.85,0.10597520633348749,0.9999999998798604,0.0
Q-EVCS,3,60,40,43.87138485908508,1.1945047333445018,2.261624666520342,0.85,0.1107956620098034,0.9999999998781656,6.938893903907229e-19
Matched tabular Q-learning,3,60,480,,1.6816707312126056,2.5686212290138,0.85,0.11638465157411826,0.9999999998781078,0.0
Q-EVCS,4,60,40,46.844948053359985,1.3933711132853521,2.5134096168763316,0.85,0.10987531223658094,0.9999999998781656,6.938893903907229e-19
Matched tabular Q-learning,4,60,480,,1.4838194214550802,2.6681082681863386,0.85,0.11926847449451465,0.9999999998777448,0.0
